SWV ITM Data Console - ITM Port: 0
IMU,155210,AX=0.072266,AY=-0.019531,AZ=0.934570,MX=-0.006000,MY=-0.063000,MZ=-0.720000,GX=0.005528,GY=-0.095126,GZ=-0.150558
IMU,155212,AX=0.061523,AY=-0.009766,AZ=0.941406,MX=0.430500,MY=-0.054000,MZ=-0.598500,GX=0.022272,GY=-0.143638,GZ=0.043407
IMU,155214,AX=0.061523,AY=-0.009766,AZ=0.941406,MX=0.430500,MY=-0.054000,MZ=-0.598500,GX=0.027538,GY=-0.139776,GZ=0.126880
IMU,155216,AX=0.061523,AY=-0.009766,AZ=0.941406,MX=0.427500,MY=-0.057000,MZ=-0.594000,GX=0.028118,GY=-0.103328,GZ=0.079274
IMU,155218,AX=0.060547,AY=-0.010742,AZ=0.943359,MX=0.427500,MY=-0.057000,MZ=-0.594000,GX=0.032265,GY=-0.078573,GZ=0.050427
IMU,155220,AX=0.060547,AY=-0.010742,AZ=0.943359,MX=0.427500,MY=-0.057000,MZ=-0.594000,GX=0.045074,GY=-0.068615,GZ=0.091402
IMU,155222,AX=0.060547,AY=-0.010742,AZ=0.943359,MX=0.427500,MY=-0.057000,MZ=-0.594000,GX=0.057709,GY=-0.066907,GZ=0.150336
IMU,155224,AX=0.060547,AY=-0.010742,AZ=0.943359,MX=0.427500,MY=-0.057000,MZ=-0.594000,GX=0.062955,GY=-0.068274,GZ=0.179543
IMU,155226,AX=0.060547,AY=-0.010742,AZ=0.943359,MX=0.426000,MY=-0.054000,MZ=-0.598500,GX=0.063288,GY=-0.069622,GZ=0.184272
IMU,155228,AX=0.062500,AY=-0.007812,AZ=0.946289,MX=0.426000,MY=-0.054000,MZ=-0.598500,GX=0.020225,GY=-0.129946,GZ=0.237296
IMU,155230,AX=0.062500,AY=-0.007812,AZ=0.946289,MX=0.426000,MY=-0.054000,MZ=-0.598500,GX=-0.092679,GY=-0.289614,GZ=0.386126
IMU,155232,AX=0.062500,AY=-0.007812,AZ=0.946289,MX=0.426000,MY=-0.054000,MZ=-0.598500,GX=-0.199538,GY=-0.441298,GZ=0.529837
IMU,155234,AX=0.062500,AY=-0.007812,AZ=0.946289,MX=0.426000,MY=-0.054000,MZ=-0.598500,GX=-0.242755,GY=-0.502795,GZ=0.588718
IMU,155236,AX=0.062500,AY=-0.007812,AZ=0.946289,MX=0.438000,MY=-0.054000,MZ=-0.598500,GX=-0.244792,GY=-0.505788,GZ=0.591968
IMU,155238,AX=0.062500,AY=-0.012695,AZ=0.940430,MX=0.438000,MY=-0.054000,MZ=-0.598500,GX=-0.211094,GY=-0.409627,GZ=0.518256
IMU,155240,AX=0.062500,AY=-0.012695,AZ=0.940430,MX=0.438000,MY=-0.054000,MZ=-0.598500,GX=-0.139648,GY=-0.179039,GZ=0.345901
IMU,155242,AX=0.062500-0.076049,GY=0.034080,GZ=0.187810
IMU,155244,AX=0.062500,AY=-0.012695,AZ=0.940430,MX=0.438000,MY=-0.054000,MZ=-0.598500,GX=-0.051399,GY=0.118907,GZ=0.125215
IMU,155246,AX=0.062500,AY=-0.012695,AZ=0.940430,MX=0.444000,MY=-0.057000,MZ=-0.592500,GX=-0.055992,GY=0.151300,GZ=0.152348
IMU,155248,AX=0.064453,AY=-0.010742,AZ=0.934570,MX=0.444000,MY=-0.057000,MZ=-0.592500,GX=-0.075466,GY=0.210126,GZ=0.244842
